,Date,Visit,Home,V_Odd,H_Odd,OU,Score
389,21/12/10,BOS,PHO,140,-160,214.5,90-111
390,21/12/11,ORL,LAC,280,-340,215.5,104-106
391,21/12/11,UTA,WAS,-300,250,221.0,123-98
392,21/12/11,HOU,MEM,280,-340,218.0,106-113
393,21/12/11,CHI,MIA,-125,105,210.0,92-118
394,21/12/11,SAC,CLE,220,-260,222.5,103-117
395,21/12/11,GS,PHI,-155,135,212.5,93-102
396,21/12/11,DEN,SA,-110,-110,218.5,127-112
397,21/12/12,MIL,NY,-240,200,216.0,112-97
398,21/12/12,BKN,DET,-310,260,211.5,116-104
399,21/12/12,NO,SA,110,-130,220.5,97-112
400,21/12/12,DAL,OKC,-175,155,206.5,103-84
401,21/12/12,MIN,POR,130,-150,226.0,116-111
402,21/12/12,ORL,LAL,360,-430,221.0,94-106
403,21/12/13,MIA,CLE,180,-210,208.0,94-105
404,21/12/13,GS,IND,-175,155,214.0,102-100
405,21/12/13,SAC,TOR,165,-185,222.0,101-124
406,21/12/13,HOU,ATL,400,-500,227.0,132-126
407,21/12/13,MIL,BOS,-115,-105,223.0,103-117
408,21/12/13,PHI,MEM,125,-145,209.0,91-126
409,21/12/13,CHA,DAL,120,-140,216.5,96-120
410,21/12/13,WAS,DEN,145,-165,215.5,107-113
411,21/12/13,PHO,LAC,-155,135,212.0,95-111
412,21/12/14,GS,NY,-225,195,211.5,105-96
413,21/12/14,TOR,BKN,145,-165,216.5,129-131
414,21/12/14,PHO,POR,-110,-110,217.0,111-107
415,21/12/15,ATL,ORL,-380,320,223.5,111-99
416,21/12/15,HOU,CLE,350,-420,217.0,89-124
417,21/12/15,MIA,PHI,250,-300,203.0,101-96
418,21/12/15,LAL,DAL,-160,140,212.5,107-104
419,21/12/15,NO,OKC,-180,160,212.0,113-110
420,21/12/15,IND,MIL,-150,130,214.5,99-114
421,21/12/15,CHA,SA,120,-140,224.0,131-115
422,21/12/15,MIN,DEN,155,-175,223.0,124-107
423,21/12/15,WAS,SAC,-130,110,226.5,105-119
424,21/12/15,LAC,UTA,550,-800,217.5,103-124
425,21/12/15,MEM,POR,-115,-105,218.0,113-103
426,21/12/16,DET,IND,450,-600,208.0,113-122
427,21/12/16,PHI,BKN,-150,130,216.5,105-114
428,21/12/16,NY,HOU,-210,180,215.5,116-103
429,21/12/16,WAS,PHO,325,-390,213.0,98-118
430,21/12/17,MIA,ORL,-410,340,203.0,115-105
431,21/12/17,DEN,ATL,140,-160,225.0,133-115
432,21/12/17,GS,BOS,-185,165,216.5,111-107
433,21/12/17,LAL,MIN,-120,100,222.5,92-110
434,21/12/17,SA,UTA,500,-700,226.5,128-126
435,21/12/17,CHA,POR,105,-125,230.0,116-125
436,21/12/17,MEM,SAC,-270,230,221.0,124-105
437,21/12/17,MIL,NO,100,-120,214.5,112-116
438,21/12/18,HOU,DET,-110,-110,219.5,116-107
439,21/12/18,ORL,BKN,190,-220,211.0,100-93
440,21/12/18,GS,TOR,300,-360,202.5,100-119
441,21/12/18,LAC,OKC,-185,165,209.5,103-104
442,21/12/18,NY,BOS,185,-215,208.5,107-114
443,21/12/18,CLE,MIL,-230,195,210.5,119-90
444,21/12/18,WAS,UTA,240,-280,222.5,109-103
445,21/12/19,LAL,CHI,240,-280,217.0,110-115
446,21/12/19,SA,SAC,-190,170,227.0,114-121
447,21/12/19,POR,MEM,165,-185,221.5,105-100
448,21/12/19,MIA,DET,-260,220,208.0,90-100
449,21/12/19,DAL,MIN,145,-165,214.0,105-111
450,21/12/19,CHA,PHO,330,-400,232.0,106-137
451,21/12/20,PHI,BOS,120,-140,214.5,108-103
452,21/12/20,OKC,MEM,330,-400,215.5,102-99
453,21/12/20,HOU,CHI,240,-280,223.0,118-133
454,21/12/20,CHA,UTA,600,-900,237.5,102-112
455,21/12/20,SAC,GS,650,-1000,221.5,98-113
456,21/12/20,SA,LAC,195,-230,220.0,116-92
457,21/12/21,DET,NY,245,-290,206.0,91-105
458,21/12/21,IND,MIA,-130,110,211.0,96-125
459,21/12/21,POR,NO,-120,100,219.0,97-111
460,21/12/21,MIN,DAL,-140,120,213.0,102-114
461,21/12/21,PHO,LAL,-300,250,223.5,108-90
462,21/12/22,ORL,ATL,250,-300,208.5,104-98
463,21/12/22,CLE,BOS,210,-250,216.5,101-111
464,21/12/22,HOU,MIL,325,-390,224.0,106-126
465,21/12/22,DEN,OKC,-260,220,213.0,94-108
466,21/12/22,LAC,SAC,-175,155,216.5,105-89
467,21/12/23,ATL,PHI,500,-700,205.0,98-96
468,21/12/23,HOU,IND,230,-270,223.5,106-118
469,21/12/23,NO,ORL,-190,170,211.0,110-104
470,21/12/23,DET,MIA,525,-750,207.5,112-115
471,21/12/23,WAS,NY,140,-160,206.5,124-117
472,21/12/23,MIL,DAL,-160,140,208.5,102-95
473,21/12/23,MIN,UTA,775,-1300,225.5,116-128
474,21/12/23,CHA,DEN,120,-140,231.0,115-107
475,21/12/23,OKC,PHO,800,-1400,213.5,101-113
476,21/12/23,MEM,GS,180,-210,217.0,104-113
